"NBNORG0000027361","NBNSYS0000174095"
"NBNORG0000032472","NBNSYS0000178654"
"NBNORG0000029778","NBNSYS0000177964"
"NBNORG0000031220","NBNSYS0000175035"
"NBNORG0000030887","NBNSYS0000174628"
"NBNORG0000031062","NBNSYS0000175674"
"NBNORG0000109413","NBNSYS0000174221"
"NBNORG0000029395","NBNSYS0000174210"
"NBNORG0000040495","NBNSYS0000175084"
"NBNORG0000029329","NBNSYS0000175373"
"NBNORG0000031150","NBNSYS0000171177"
"NBNORG0000031859","NBNSYS0000177739"
"NBNORG0000031945","NBNSYS0000177801"
"NBNORG0000031673","NBNSYS0000177786"
"NBNORG0000028113","NBNSYS0000177231"
"NBNORG0000029310","NBNSYS0000175805"
"NBNORG0000029417","NBNSYS0000178643"
"NBNORG0000031643","NBNSYS0000175360"
"NBNORG0000052186","NBNSYS0000177911"
"NBNORG0000029123","NBNSYS0000174692"
"NBNORG0000109496","NBNSYS0000176342"
"NBNORG0000109492","NBNSYS0000175341"
"NBNORG0000109495","NBNSYS0000175370"
"NBNORG0000109497","NBNSYS0000177689"
"NBNORG0000117883","NBNSYS0000175378"
"NBNORG0000109490","NBNSYS0000174215"
"NBNORG0000109488","NBNSYS0000174214"
"NBNORG0000109493","NBNSYS0000175368"
"NBNORG0000109489","NBNSYS0000175556"
"NBNORG0000109494","NBNSYS0000175558"
"NBNORG0000029329","NBNSYS0000175373"
"NBNORG0000032005","NBNSYS0000189018"
"NBNORG0000039915","NBNSYS0000189002"
"NBNORG0000031859","NBNSYS0000177739"
"NBNORG0000031945","NBNSYS0000177801"
"NBNORG0000037558","NBNSYS0000167866"
"NBNORG0000040273","NBNSYS0000189122"
"NBNORG0000030808","NBNSYS0000177961"
"NBNORG0000036520","NBNSYS0000173822"
"NBNORG0000031673","NBNSYS0000177786"
"NBNORG0000040172","NBNSYS0000175589"
"NBNORG0000033142","NBNSYS0000189057"
"NBNORG0000033665","NBNSYS0000188905"
"NBNORG0000024885","NBNSYS0000170468"
"NBNORG0000031989","NBNSYS0000177998"
"NBNORG0000029310","NBNSYS0000175805"
"NBNORG0000038383","NBNSYS0000189116"
"NBNORG0000032325","NBNSYS0000177808"
"NBNORG0000029417","NBNSYS0000178643"
"NBNORG0000029349","NBNSYS0000189037"
"NBNORG0000037344","NBNSYS0000189061"
"NBNORG0000036273","NBNSYS0000188952"
"NBNORG0000030643","NBNSYS0000176238"
"NBNORG0000031101","NBNSYS0000176045"
"NBNORG0000040552","NBNSYS0000189125"
"NBNORG0000006887","NBNSYS0000167106"
"NBNORG0000006984","NBNSYS0000188862"
"NBNORG0000040560","NBNSYS0000167118"
"NBNORG0000006890","NBNSYS0000167504"
"NBNORG0000006958","NBNSYS0000169552"
"NBNORG0000006917","NBNSYS0000171245"
"NBNORG0000006993","NBNSYS0000165192"
"NBNORG0000006919","NBNSYS0000169586"
"NBNORG0000006959","NBNSYS0000167274"
"NBNORG0000006968","NBNSYS0000165127"
"NBNORG0000006964","NBNSYS0000166107"
"NBNORG0000006997","NBNSYS0000171027"
"NBNORG0000006898","NBNSYS0000166183"
"NBNORG0000006897","NBNSYS0000168904"
"NBNORG0000006899","NBNSYS0000169303"
"NBNORG0000006935","NBNSYS0000164957"
"NBNORG0000006940","NBNSYS0000168520"
"NBNORG0000006950","NBNSYS0000166550"
"NBNORG0000006902","NBNSYS0000167259"
"NBNORG0000006923","NBNSYS0000171450"
"NBNORG0000007011","NBNSYS0000168527"
"NBNORG0000006904","NBNSYS0000171991"
"NBNORG0000006930","NBNSYS0000170943"
"NBNORG0000006931","NBNSYS0000167489"
"NBNORG0000007022","NBNSYS0000166046"
"NBNORG0000006912","NBNSYS0000168158"
"NBNORG0000007035","NBNSYS0000171835"
"NBNORG0000007037","NBNSYS0000165196"
"NBNORG0000006895","NBNSYS0000169668"
"NBNORG0000040629","NBNSYS0000173419"
"NBNORG0000008821","NBNSYS0000166819"
"NBNORG0000008814","NBNSYS0000165331"
"NBNORG0000008812","NBNSYS0000166937"
"NBNORG0000007037","NBNSYS0000165196"
"NBNORG0000030932","NBNSYS0000189471"
"NBNORG0000008523","NBNSYS0100001222"
"NBNORG0000007149","NBNSYS0000167788"
"NBNORG0000008983","NBNSYS0000164963"
"NBNORG0000008986","NBNSYS0000170839"
"NBNORG0000008985","NBNSYS0000165553"
"NBNORG0000008984","NBNSYS0000166047"
"NBNORG0000008987","NBNSYS0000168846"
"NBNORG0000052147","NHMSYS0000628797"
"NBNORG0000008982","NBNSYS0000167572"
"NBNORG0000008977","NBNSYS0000164990"
"NBNORG0000008976","NBNSYS0000165070"
"NBNORG0000008969","NBNSYS0000169117"
"NBNORG0000008968","NBNSYS0000169135"
"NBNORG0000008970","NBNSYS0000168004"
"NBNORG0000008964","NBNSYS0000170834"
"NBNORG0000008967","NBNSYS0000164962"
"NBNORG0000008966","NBNSYS0000171531"
"NBNORG0000008965","NBNSYS0000166396"
"NBNORG0000009000","NHMSYS0000344184"
"NBNORG0000008980","NHMSYS0000628798"
"NBNORG0000052153","NHMSYS0000344279"
"NBNORG0000008962","NHMSYS0000344289"
"NBNORG0000008973","NHMSYS0000344186"
"NBNORG0000008975","NBNSYS0000170241"
"NBNORG0000008974","NBNSYS0000166744"
"NBNORG0000008994","NHMSYS0000344280"
"NBNORG0000008995","NBNSYS0000170238"
"NBNORG0000008996","NHMSYS0000344282"
"NBNORG0000008997","NBNSYS0000168133"
"NBNORG0000008999","NHMSYS0000344191"
"NBNORG0000008978","NHMSYS0001706273"
"NBNORG0000009006","NBNSYS0000165191"
"NBNORG0000009004","NHMSYS0000344293"
"NBNORG0000052156","NHMSYS0000344287"
"NBNORG0000052157","NBNSYS0000167746"
"NBNORG0000009005","NBNSYS0000170094"
"NBNORG0000009002","NBNSYS0000166012"
"NBNORG0000009001","NBNSYS0000171521"
"NBNORG0000049702","NHMSYS0000528012"
"NBNORG0000049705","NHMSYS0000528019"
"NBNORG0000049707","NHMSYS0000332273"
"NBNORG0000042957","NHMSYS0000377352"
"NBNORG0000060848","NBNSYS0000189540"
"NBNORG0000060906","NBNSYS0000169491"
"NBNORG0000061535","NBNSYS0000170523"
"NBNORG0000040517","NBNSYS0000169634"
"NBNORG0000061581","NBNSYS0000165613"
"NBNORG0000040535","NBNSYS0000170320"
